description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
"mono-trans, poly-cis decaprenyl phosphate biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mycolate biosynthesis,35,46,43,0,29,50,0,69,23,52,41,0,0,30,38,0,50,53,46,53,28,19,12,46,0,52,32,43,41,53,0,47,19,30,0,43,49,45,0,47,17,24,4,18,3,36,1,17,27,6,30,20,7,12,21,2,48,11,5,0,14,7,14,30,21,17,16,16,11,13,13,6,0,7,7,11,10,1,4,6,14,2,0,0,3,31,6,0,3,28,12,10,11,2,29,7,4,2,12,4,19,10,31,0,19,17,22,37,14,12,11,10,10,9,3,11,11,14,26,17,1,1,15,23,14,27,4,8,16,19,13,0,2,2,6,1,1,0,13,6,2,1,2,6,12,15,2,13,2,11,2,0,1,0,2,8,11,1,13,13,9,0,10,1,0,6,0,1,0,9,1,1,0,0,7,0,0,26,0,3,3,10,0,3,0,0,1,4,1,6,0,15,1,6,2,12,8,18,8,18,0,2,2,2,13,10,17,17,5,4,6,19,0,7,11,7,1,1,0,17,6,14,0,3,0,6,5,5,0,0,0,15,0,1,1,4,0,10,2,0,0,0,0,7,21,5,24,7,13,21,14,11,22,27,10,15,10,16,9,24,12,18,5,2,12,5,2,13,7,10,10,14,19,12,1,17,8,19,6,14,7,6,7,2,20,2,17,14,6,12,3,4,6,6,11,1,5,17,3,23,17,20,20,24,10,12,18,11,33,9,2,13,19,17,2,6,15,0,5,0,15,3,8,0,8,24,3,1,6,0,21,3,6,12,3,6,16,13,15,13,2,8,10,15,4,10,27,7,17,5,17
mycolyl-arabinogalactan-peptidoglycan complex biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myo-inositol degradation I,0,0,2,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,0,0,5,0,0,1,0,0,2,10,0,0,0,1,1,5,1,4,2,3,1,0,1,4,0,3,1,3,0,10,0,1,1,2,2,1,0,1,5,0,2,0,3,0,2,1,2,1,0,0,2,0,7,11,1,0,1,0,1,4,0,2,1,7,2,2,0,12,5,3,2,3,10,0,9,3,0,0,0,0,0,2,1,0,4,0,1,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,2,3,0,0,1,0,4,1,7,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,3,0,2,1,0,0,0,0,0,0,0,2,2,0,2,2,3,5,1,0,5,0,0,2,0,1,1,0,1,0,3,8,1,0,2,0,4,2,0,6,1,1,5,2,1,0,2,6,2,1,1,3,0,1,1,2,2,0,1,0,1,1,0,1,0,0,0,2,7,1,1,0,1,0,6,3,0,2,0,0,3,0,0,1,0,0,0,0,0,3,1,5,1,0,1,4,3,2,0,1,10,0,0,2,3,0,1,1
N10-formyl-tetrahydrofolate biosynthesis,25,32,35,29,23,22,29,42,27,29,25,2,40,32,25,41,35,38,29,40,30,30,30,29,23,28,32,32,34,31,33,32,30,29,25,59,35,21,38,24,33,29,36,25,21,24,23,35,15,27,26,34,30,25,19,30,22,15,23,29,23,27,27,30,30,19,26,28,21,22,29,29,40,34,31,28,27,30,24,21,30,30,34,30,29,27,37,30,29,24,27,27,28,25,18,28,23,39,32,26,36,24,30,40,24,22,29,24,26,35,28,22,23,35,27,26,38,28,34,19,27,28,26,27,21,22,30,32,34,28,40,26,32,15,30,29,35,26,27,36,27,41,23,33,29,27,29,27,26,42,38,37,36,35,27,30,20,28,25,23,24,47,38,24,26,32,34,24,34,24,18,34,35,32,32,29,29,35,41,27,38,30,26,35,34,46,36,27,28,27,32,24,31,27,39,29,19,32,34,35,39,21,28,46,28,26,32,39,28,42,39,19,33,44,27,25,34,49,30,31,28,39,23,32,30,36,21,36,36,34,31,26,35,20,31,32,13,30,32,14,25,25,35,28,27,28,26,31,16,30,22,34,35,20,25,32,27,24,24,28,18,31,37,34,42,28,35,27,27,26,22,33,25,35,34,33,30,30,28,26,28,28,26,31,24,36,26,29,28,29,29,30,34,41,43,31,37,35,26,24,16,36,32,34,24,32,30,31,24,25,23,28,20,34,26,27,32,32,29,37,21,9,29,27,25,20,26,33,33,32,28,28,38,36,31,19,25,32,25,25,29,28,24,36,33,40,18,32,24,22,28
NAD biosynthesis I (from aspartate),22,44,22,46,24,19,18,35,12,28,23,0,38,32,28,18,33,32,30,36,23,19,15,30,17,23,27,39,32,27,42,26,27,27,26,37,33,22,29,25,24,21,22,21,21,21,26,24,25,23,23,30,31,17,8,34,23,25,28,28,18,23,17,30,29,24,20,19,36,22,21,20,22,27,35,23,21,26,19,20,35,33,30,33,25,23,20,22,26,30,27,20,26,43,22,32,23,25,31,22,26,22,24,41,21,29,27,19,23,30,34,15,31,39,31,21,35,28,26,25,30,23,25,24,21,15,22,22,20,18,28,25,35,31,51,36,37,20,29,32,48,36,40,24,27,28,30,15,35,23,45,28,28,20,25,30,22,23,36,28,43,26,29,28,11,18,36,37,35,20,31,33,37,30,24,42,19,29,32,37,25,35,12,28,31,28,36,30,25,14,20,30,28,32,16,20,30,16,26,28,39,33,24,30,24,30,33,17,31,27,23,15,29,28,26,30,27,30,26,26,30,30,27,26,34,27,17,24,29,30,33,21,37,27,15,24,2,38,26,3,21,42,30,30,19,27,30,30,18,18,28,20,18,22,29,9,21,30,14,18,29,19,21,31,32,25,30,29,30,24,22,19,26,19,35,20,16,22,21,15,34,24,18,28,30,26,23,17,21,20,20,28,23,21,15,22,29,21,26,32,28,29,26,29,23,28,17,21,17,20,22,23,19,23,23,24,21,28,28,26,22,2,23,26,22,23,22,23,17,19,13,31,31,25,31,20,28,29,22,19,28,33,26,20,27,23,24,34,28,27,44
NAD biosynthesis II (from tryptophan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAD salvage pathway I,29,36,24,28,19,33,18,32,16,27,23,0,40,28,26,47,23,31,29,35,22,21,24,15,25,22,24,37,21,28,48,31,42,21,28,31,37,38,32,15,29,17,31,22,33,24,19,32,25,29,18,27,24,17,16,24,39,24,25,38,18,26,11,31,23,31,27,24,20,29,15,24,25,35,42,15,30,32,29,26,31,31,28,24,27,29,22,26,20,31,22,34,18,20,20,34,24,22,22,28,32,14,31,28,29,27,23,17,33,36,29,20,23,25,40,26,33,23,31,20,28,24,31,20,31,16,28,36,26,21,19,27,32,24,33,38,28,18,23,40,34,31,41,28,30,26,34,17,34,28,25,41,30,22,30,26,33,39,36,36,35,27,34,28,26,26,40,25,42,23,27,27,35,26,32,28,34,26,38,26,25,32,16,37,34,22,28,33,23,17,38,24,28,31,19,18,21,23,24,32,35,30,25,34,27,20,28,29,17,38,27,15,42,31,24,31,22,42,30,30,44,35,28,27,39,28,18,21,29,35,29,30,33,35,23,23,6,34,23,6,33,26,43,29,29,43,24,23,21,37,24,23,27,21,36,17,26,32,24,21,25,23,22,35,37,38,34,37,26,24,15,26,25,17,30,18,22,10,37,24,30,24,37,24,20,20,35,30,29,23,23,31,29,38,31,25,13,27,25,22,28,29,32,26,12,30,30,29,22,25,22,38,13,21,30,35,25,29,22,34,26,3,26,34,33,21,18,21,17,20,23,28,26,22,30,37,20,29,29,22,28,25,32,28,23,15,27,27,25,28,30
NAD salvage pathway II,0,0,1,0,11,1,14,0,12,1,9,1,0,0,0,0,2,0,0,0,3,11,10,7,19,2,6,0,1,1,0,0,0,11,0,0,1,0,0,1,2,3,1,1,1,1,0,0,8,0,2,1,2,3,8,0,1,0,2,0,2,4,5,0,0,0,4,2,0,2,1,2,0,0,0,3,2,1,1,1,0,1,2,2,1,10,1,3,0,6,6,1,3,5,8,2,0,2,3,6,3,9,2,0,8,11,7,5,5,0,0,17,7,2,0,0,2,12,3,6,1,0,2,6,1,16,0,0,10,17,1,0,1,3,1,2,0,1,1,0,0,0,3,0,4,8,1,1,0,1,2,1,2,2,4,0,1,2,0,1,0,2,0,2,0,1,1,0,0,6,4,1,1,0,4,2,1,0,4,1,1,2,1,1,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,9,1,0,1,0,0,0,2,0,0,0,0,1,1,0,5,0,0,2,0,1,0,3,3,0,0,0,1,1,0,1,0,2,1,3,1,2,3,0,9,3,2,0,1,6,1,3,0,11,4,7,0,1,11,3,2,4,1,0,4,6,1,6,5,3,2,6,1,2,3,2,1,3,2,0,3,2,4,5,3,3,0,2,8,6,3,2,1,4,0,5,0,1,6,2,2,1,7,13,4,1,9,2,1,2,3,2,1,0,6,1,1,3,6,3,0,2,1,2,13,1,1,3,1,3,1,8,7,7,0,3,5,0,2,1,5,4,1,2,4
nitrate reduction VI (assimilatory),6,0,3,0,9,0,10,0,0,13,0,56,0,2,22,0,0,6,11,0,18,0,0,0,2,1,0,0,8,0,0,14,0,0,27,0,7,12,0,0,5,2,13,1,11,1,1,19,4,4,7,4,3,6,2,3,5,11,7,12,25,6,3,16,8,16,5,16,8,2,10,5,11,7,10,7,7,6,5,4,3,6,1,20,8,7,1,7,9,3,4,8,13,10,6,2,6,10,18,8,6,3,9,0,8,4,7,13,13,11,15,4,9,7,3,6,10,6,7,3,9,24,3,4,9,0,18,15,7,2,5,6,7,1,7,8,1,20,7,5,1,5,11,6,8,6,12,10,10,13,11,9,7,12,20,9,2,1,3,7,16,12,5,24,28,24,12,10,5,4,3,3,1,11,9,14,2,1,6,8,5,7,2,8,13,9,10,6,17,5,8,19,19,11,13,8,11,3,7,2,15,10,15,9,5,4,8,4,13,17,10,4,12,6,3,2,6,3,10,12,4,6,18,7,21,8,32,6,5,2,20,4,6,13,3,11,2,4,2,0,22,6,18,3,5,7,1,3,4,7,11,12,2,2,4,2,6,11,1,0,4,4,6,5,3,12,1,2,8,5,7,23,1,9,7,5,2,7,17,3,5,2,8,17,1,2,2,3,5,2,3,7,3,5,3,7,3,5,4,2,2,4,0,9,9,2,0,4,8,3,16,2,4,3,3,4,9,2,6,0,10,0,16,7,7,0,8,9,4,7,0,1,6,0,14,5,7,3,6,7,10,5,15,6,8,12,3,5,4,5,2
norspermidine biosynthesis,0,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,1,0,0,0,0,4,16,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
O-antigen building blocks biosynthesis (E. coli),6,0,9,0,20,5,23,0,13,13,9,50,0,6,21,0,1,11,18,0,21,11,6,8,19,4,6,0,7,2,0,16,0,5,38,0,12,15,0,1,32,11,44,8,13,22,21,22,11,19,15,20,25,23,12,26,23,30,19,27,28,30,22,21,22,19,14,29,27,19,15,32,25,25,23,26,16,14,31,28,16,32,26,34,22,22,15,15,17,28,25,19,38,37,13,18,26,33,27,15,6,28,25,16,25,14,31,19,28,32,30,23,20,19,31,16,27,20,17,20,27,21,10,16,23,13,23,19,14,18,21,22,32,29,42,27,36,18,28,33,30,29,25,32,25,18,39,28,42,22,30,37,36,31,24,31,19,35,24,33,32,29,26,46,30,33,36,37,38,20,24,38,40,28,22,25,23,23,27,28,30,22,33,30,35,17,20,32,38,31,26,31,45,29,23,21,23,27,31,19,24,37,26,31,26,39,30,27,33,29,33,19,18,32,31,29,27,32,39,35,31,31,31,36,37,34,24,20,29,23,33,31,43,27,35,22,65,22,37,47,37,45,24,21,11,21,25,24,20,9,23,31,23,21,20,12,22,24,14,23,21,23,28,22,27,27,34,16,21,17,25,26,21,23,21,22,14,18,22,21,25,7,29,24,16,23,19,13,26,14,24,30,22,19,22,32,19,23,27,12,8,16,21,24,27,13,17,17,18,22,19,8,16,22,23,20,24,19,18,27,22,37,30,25,15,32,33,26,29,26,17,24,23,29,28,21,30,21,28,26,16,18,26,25,19,40,14,14,28,24,20
octane oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,1,7,0,0,0,4,2,1,0,0,0,1,4,7,7,4,9,1,2,3,5,2,1,3,0,6,6,7,12,0,3,0,2,6,0,5,3,8,0,0,10,6,6,0,3,3,10,0,0,7,4,5,13,4,2,2,3,0,1,3,8,0,6,8,0,2,8,2,8,4,2,10,3,8,1,0,5,0,5,0,2,2,5,5,4,5,1,0,0,1,3,4,5,4,0,3,0,0,0,2,0,7,0,0,1,2,20,0,1,1,2,1,0,0,1,3,0,0,0,1,3,0,1,0,17,0,0,1,0,0,2,0,4,3,4,4,0,1,2,0,1,4,4,2,9,1,2,2,11,0,0,0,1,0,2,3,1,3,1,1,0,0,2,1,5,1,10,1,0,1,0,0,5,3,0,1,2,1,2,0,2,0,1,0,1,0,1,3,0,0,0,2,0,1,1,0,1,10,1,4,0,9,4,0,5,9,0,0,2,1,4,1,4,1,0,8,0,1,4,5,3,0,1,0,0,7,1,7,8,3,0,8,1,1,3,0,5,1,1,16,2,4,4,3,0,1,0,5,5,3,0,0,1,3,0,0,0,1,0,0,0,3,0,2,2,6,1,0,10,4,1,4,1,0,7,0,2,4,6,0,0,21,1,0,4,8,8,0,10,6,4,1,7,3,9,0,2,11,0,2,11,5,2,5,10
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),47,42,57,0,28,47,40,58,32,40,20,2,55,33,49,0,74,38,49,50,37,25,13,41,28,51,37,41,37,62,0,39,17,40,45,34,57,37,0,54,11,30,6,20,3,33,1,16,19,5,21,21,8,18,26,0,38,7,5,1,15,6,11,40,20,12,13,5,7,8,20,7,4,2,2,20,6,4,3,4,19,7,2,1,2,23,9,2,1,22,15,6,12,8,10,2,4,8,13,5,13,10,13,1,18,21,18,19,4,3,11,20,10,8,4,5,8,14,18,15,4,2,14,15,13,24,3,2,8,17,16,1,6,9,5,0,0,0,14,8,4,4,1,3,15,18,2,10,1,8,3,1,1,0,4,8,14,0,6,11,2,0,14,0,0,6,0,1,0,7,3,1,1,2,6,1,0,35,2,0,2,3,0,1,0,0,1,6,0,0,0,14,0,9,2,8,12,14,9,11,1,3,3,0,9,12,5,17,6,2,0,17,0,6,9,11,0,2,0,11,4,11,0,0,0,4,3,4,0,0,0,15,0,1,1,1,0,11,1,0,0,2,0,10,21,2,14,4,4,16,7,3,20,26,10,18,13,6,4,18,17,18,2,0,9,6,3,9,7,8,10,6,15,7,2,16,14,17,2,20,7,6,14,3,14,3,24,18,2,11,4,7,5,3,15,2,4,12,4,15,14,16,17,22,13,6,16,12,25,7,1,10,16,16,1,5,11,0,1,0,10,2,4,0,11,17,4,3,16,1,22,6,5,10,2,4,17,12,9,10,1,4,8,12,5,12,19,4,23,5,23
pantothenate and coenzyme A biosynthesis I,47,32,34,41,16,16,28,36,20,22,24,1,56,23,9,48,23,36,22,25,21,19,19,25,21,36,27,41,27,33,49,21,46,26,34,27,37,23,29,20,24,18,18,20,18,34,31,16,19,12,29,22,27,20,16,25,27,15,22,22,25,18,27,31,25,19,13,24,20,21,27,31,32,31,26,28,18,33,17,30,33,13,16,23,30,20,20,19,23,17,29,20,13,17,21,31,28,18,19,25,22,18,25,37,28,28,24,18,30,21,22,20,20,15,20,29,20,24,30,26,25,27,30,28,23,27,24,17,19,23,19,39,30,28,32,30,7,25,32,37,25,46,21,17,33,17,26,27,33,23,25,29,29,21,14,39,30,24,31,20,31,28,20,19,32,18,22,23,36,20,23,24,42,30,22,20,20,26,26,28,27,29,14,23,34,23,20,32,32,13,22,18,29,15,25,7,20,23,33,27,13,22,13,31,35,19,16,29,26,21,22,19,20,25,23,35,20,32,40,24,38,20,17,29,29,29,21,22,25,21,21,22,20,23,22,17,3,28,31,0,21,34,21,25,24,30,23,29,27,19,20,13,20,23,22,18,25,19,23,14,26,16,14,21,15,25,34,20,29,24,31,26,31,21,17,16,13,20,24,17,23,28,25,18,27,27,35,19,31,30,10,23,21,30,21,18,23,26,20,28,21,22,30,20,15,25,38,23,18,17,37,28,18,18,23,31,13,12,28,12,22,1,25,22,31,15,36,33,32,22,16,25,27,21,20,25,25,23,25,26,31,29,23,18,24,19,18,15,21,25,23
